Co,Si,Pt,O,Ni,Gd
1008,0,0,34173,603,520
988,0,0,34457,565,521
963,0,0,34739,531,556
942,0,0,35030,492,549
913,0,0,35342,454,552
888,0,0,35626,420,565
869,0,0,35911,395,582
886,0,0,36067,381,586
1041,0,0,36059,340,551
1222,0,0,36050,296,531
1392,0,0,36036,260,526
1557,0,0,36013,230,526
1720,0,0,35988,192,507
1880,0,0,35978,156,513
2061,0,0,35953,127,511
2230,0,0,35942,96,495
2319,0,0,35935,95,482
2260,0,0,35901,102,455
2210,0,0,35888,106,433
2151,0,0,35850,121,446
2096,0,0,35837,134,445
2049,0,0,35818,139,440
1996,0,0,35791,146,422
1936,0,0,35760,156,408
1886,0,0,35739,174,415
1818,0,0,35723,191,413
1604,0,0,35747,235,414
1391,0,0,35778,289,428
1163,0,0,35787,343,433
953,0,0,35794,391,439
745,0,0,35817,445,442
531,0,0,35852,504,455
327,0,0,35870,551,457
94,0,0,35877,609,455
37,0,0,35842,629,460
158,0,0,35717,619,468
282,0,0,35590,619,458
398,0,0,35468,623,465
528,0,0,35334,617,455
651,0,0,35208,617,457
770,0,0,35080,612,458
892,0,0,34964,614,461
1020,0,0,34833,612,466
1124,0,0,34808,642,476
1236,0,0,34969,735,469
1355,0,0,35109,837,473
1461,0,0,35248,942,494
1582,0,0,35399,1049,499
1698,0,0,35560,1152,515
1807,0,0,35708,1253,529
1922,0,0,35835,1351,538
2034,0,0,35974,1456,552
2013,0,0,35997,1476,557
1851,0,0,35801,1301,533
1696,0,0,35622,1126,525
1548,0,0,35444,950,515
1394,0,0,35251,778,498
1235,0,0,35055,593,488
1070,0,0,34862,420,471
934,0,0,34678,248,470
775,0,0,34489,73,467
667,0,0,34587,28,457
618,0,0,35079,127,469
572,0,0,35584,231,480
520,0,0,36084,337,481
472,0,0,36597,443,484
416,0,0,37134,555,493
370,0,0,37621,661,497
320,0,0,38124,768,511
280,0,0,38639,870,523
311,0,0,38809,902,530
493,0,0,38386,789,540
678,0,0,37985,684,551
850,0,0,37575,580,569
1025,0,0,37199,472,590
1214,0,0,36765,361,600
1394,0,0,36356,255,619
1567,0,0,35980,150,642
1750,0,0,35565,48,661
1796,0,0,35382,0,668
1577,0,0,35550,18,607
1379,0,0,35717,38,572
1177,0,0,35889,58,545
983,0,0,36041,80,506
788,0,0,36207,102,472
584,0,0,36376,123,457
388,0,0,36539,143,411
207,0,0,36706,165,364
106,0,0,36746,172,338
115,0,0,36592,157,347
137,0,0,36426,152,356
161,0,0,36280,146,361
181,0,0,36120,144,380
208,0,0,35964,135,398
236,0,0,35791,131,412
254,0,0,35652,131,434
295,0,0,35469,122,452
306,0,0,35408,137,462
266,0,0,35499,221,471
225,0,0,35583,317,471
191,0,0,35663,406,484
150,0,0,35739,502,502
114,0,0,35823,592,517
72,0,0,35906,688,530
37,0,0,35997,789,544
1,0,0,36085,877,568
0,0,0,36172,928,571
0,0,0,36235,884,546
3,0,0,36332,839,548
9,0,0,36428,789,547
14,0,0,36499,742,550
20,0,0,36581,700,534
26,0,0,36662,654,530
32,0,0,36751,610,530
37,0,0,36828,566,544
41,0,0,36951,534,530
82,0,0,37120,505,533
121,0,0,37303,477,524
165,0,0,37483,447,535
203,0,0,37656,421,541
245,0,0,37828,393,538
287,0,0,37984,364,543
324,0,0,38174,341,546
372,0,0,38348,311,575
386,0,0,38356,286,576
401,0,0,38048,250,556
423,0,0,37752,218,563
469,0,0,37455,192,556
507,0,0,37136,160,559
544,0,0,36832,131,564
592,0,0,36532,100,524
625,0,0,36221,75,535
669,0,0,35890,48,531
673,0,0,35774,51,540
626,0,0,35962,89,541
569,0,0,36145,126,540
504,0,0,36348,167,529
458,0,0,36539,208,523
418,0,0,36738,245,525
362,0,0,36936,285,524
322,0,0,37114,326,527
281,0,0,37316,369,536
288,0,0,37369,403,535
287,0,0,37167,454,522
284,0,0,36965,518,510
291,0,0,36762,574,510
289,0,0,36561,634,493
292,0,0,36353,695,491
289,0,0,36147,759,494
289,0,0,35934,823,488
299,0,0,35740,879,484
306,0,0,35594,888,474
350,0,0,35568,784,467
398,0,0,35535,679,461
450,0,0,35506,573,465
500,0,0,35473,467,456
550,0,0,35446,354,462
598,0,0,35424,248,440
648,0,0,35405,146,445
703,0,0,35370,42,451
737,0,0,35471,0,451
788,0,0,35891,0,441
853,0,0,36297,0,435
911,0,0,36693,0,430
975,0,0,37092,1,426
1045,0,0,37502,5,434
1096,0,0,37922,7,423
1164,0,0,38334,12,418
1228,0,0,38733,13,422
1254,0,0,38871,17,434
1095,0,0,38356,31,444
955,0,0,37876,44,456
807,0,0,37393,58,483
662,0,0,36924,75,494
524,0,0,36437,96,511
372,0,0,35925,115,517
232,0,0,35451,135,537
95,0,0,34963,153,596
25,0,0,34670,160,607
27,0,0,34858,139,577
30,0,0,35050,117,540
32,0,0,35229,96,503
32,0,0,35411,78,476
36,0,0,35586,56,460
37,0,0,35776,38,442
37,0,0,35978,19,400
37,0,0,36170,3,392
49,0,0,36271,1,382
165,0,0,36154,39,380
303,0,0,36037,86,373
428,0,0,35941,124,376
557,0,0,35828,167,385
682,0,0,35727,205,396
808,0,0,35628,247,405
952,0,0,35492,290,416
1076,0,0,35380,333,426
1138,0,0,35361,347,449
1039,0,0,35526,307,446
951,0,0,35709,266,445
851,0,0,35893,224,437
759,0,0,36052,183,434
669,0,0,36218,142,445
573,0,0,36382,103,448
474,0,0,36564,57,435
392,0,0,36709,18,439
350,0,0,36810,0,446
384,0,0,36692,64,439
417,0,0,36575,141,438
467,0,0,36452,219,441
500,0,0,36338,291,447
538,0,0,36222,372,440
575,0,0,36105,445,437
611,0,0,35982,516,443
663,0,0,35861,601,454
677,0,0,35809,632,463
662,0,0,36014,582,465
650,0,0,36221,540,469
643,0,0,36419,499,455
621,0,0,36614,459,466
617,0,0,36802,412,479
607,0,0,37002,377,472
596,0,0,37190,339,467
589,0,0,37398,302,493
588,0,0,37510,285,502
568,0,0,37411,245,495
542,0,0,37307,206,498
524,0,0,37194,171,490
501,0,0,37087,135,499
478,0,0,36969,97,483
454,0,0,36875,67,482
435,0,0,36769,35,480
415,0,0,36638,5,487
408,0,0,36617,5,498
413,0,0,36759,83,496
416,0,0,36890,172,492
415,0,0,37037,264,486
420,0,0,37191,351,480
425,0,0,37316,451,471
424,0,0,37459,544,477
429,0,0,37604,631,458
427,0,0,37733,728,462
442,0,0,37863,786,463
417,0,0,37871,770,456
405,0,0,37913,758,453
391,0,0,37936,745,447
370,0,0,37968,738,460
364,0,0,37996,722,461
331,0,0,38027,709,462
317,0,0,38047,706,473
305,0,0,38081,705,489
294,0,0,38047,704,494
270,0,0,37757,616,487
257,0,0,37499,538,470
242,0,0,37215,457,478
227,0,0,36953,375,489
212,0,0,36685,297,487
201,0,0,36402,209,483
187,0,0,36129,130,505
172,0,0,35867,51,523
183,0,0,35650,0,516
261,0,0,35671,0,494
339,0,0,35669,0,485
421,0,0,35659,0,490
496,0,0,35669,0,464
574,0,0,35680,3,446
662,0,0,35680,5,424
739,0,0,35690,7,418
819,0,0,35690,10,419
872,0,0,35660,12,412
795,0,0,35554,9,418
721,0,0,35420,18,422
654,0,0,35307,23,433
587,0,0,35193,29,452
522,0,0,35072,38,466
448,0,0,34949,48,459
381,0,0,34811,57,483
315,0,0,34700,64,497
269,0,0,34618,71,509
260,0,0,34678,63,511
256,0,0,34747,53,520
253,0,0,34796,48,525
254,0,0,34869,45,525
250,0,0,34924,41,530
251,0,0,34988,35,552
242,0,0,35045,31,564
244,0,0,35107,28,570
258,0,0,35200,35,573
296,0,0,35400,99,539
344,0,0,35598,179,508
403,0,0,35819,267,498
460,0,0,36034,346,500
511,0,0,36231,423,481
568,0,0,36433,508,439
620,0,0,36628,589,418
677,0,0,36837,685,424
709,0,0,36961,743,413
645,0,0,36745,779,418
587,0,0,36551,831,397
529,0,0,36340,893,391
478,0,0,36130,954,394
419,0,0,35937,1002,403
364,0,0,35736,1063,396
306,0,0,35519,1118,396
253,0,0,35304,1175,394
244,0,0,35134,1218,398
285,0,0,35143,1079,402
345,0,0,35144,937,397
392,0,0,35135,793,400
448,0,0,35125,640,391
503,0,0,35130,499,368
554,0,0,35133,360,362
605,0,0,35118,215,362
663,0,0,35119,84,359
719,0,0,35135,0,363
749,0,0,35222,1,382
789,0,0,35305,12,388
825,0,0,35380,19,403
868,0,0,35458,30,420
910,0,0,35530,39,435
950,0,0,35600,48,461
988,0,0,35678,58,486
1028,0,0,35767,64,488
1052,0,0,35863,77,505
963,0,0,35938,84,503
883,0,0,36032,99,513
808,0,0,36108,116,535
735,0,0,36202,130,548
659,0,0,36302,144,537
578,0,0,36405,159,543
507,0,0,36473,172,550
436,0,0,36580,188,568
394,0,0,36647,213,579
465,0,0,36653,348,554
539,0,0,36655,503,541
616,0,0,36641,655,507
688,0,0,36641,817,469
767,0,0,36649,984,458
844,0,0,36669,1143,435
918,0,0,36665,1306,398
999,0,0,36661,1463,391
1069,0,0,36670,1581,390
1235,0,0,36811,1389,388
1389,0,0,36937,1208,385
1554,0,0,37055,1021,404
1723,0,0,37174,838,408
1881,0,0,37295,655,421
2063,0,0,37429,458,431
2224,0,0,37554,280,440
2396,0,0,37677,104,445
2505,0,0,37785,0,457
2206,0,0,37866,0,427
1917,0,0,37921,1,407
1633,0,0,37993,7,380
1355,0,0,38057,12,354
1072,0,0,38118,16,340
762,0,0,38183,21,321
479,0,0,38252,28,299
200,0,0,38312,32,286
0,0,0,38345,34,278
148,0,0,38205,95,285
312,0,0,38054,186,309
460,0,0,37908,266,342
612,0,0,37769,353,346
763,0,0,37630,432,364
912,0,0,37485,515,404
1076,0,0,37327,604,420
1230,0,0,37187,691,432
1338,0,0,37097,752,464
1203,0,0,37237,731,475
1066,0,0,37399,710,497
937,0,0,37580,685,511
811,0,0,37729,667,532
685,0,0,37888,644,527
558,0,0,38048,624,529
430,0,0,38195,604,548
303,0,0,38378,589,583
216,0,0,38484,589,602
213,0,0,38401,554,590
235,0,0,38308,530,585
250,0,0,38221,507,551
271,0,0,38132,488,542
288,0,0,38045,470,538
313,0,0,37977,451,521
327,0,0,37871,429,510
354,0,0,37779,414,514
376,0,0,37676,404,502
471,0,0,37519,400,502
580,0,0,37332,411,489
712,0,0,37148,415,490
821,0,0,36981,425,486
952,0,0,36822,429,491
1067,0,0,36643,434,493
1193,0,0,36464,441,496
1323,0,0,36292,454,491
1418,0,0,36183,472,488
1258,0,0,36449,433,491
1122,0,0,36725,396,478
984,0,0,37007,358,470
838,0,0,37292,321,479
697,0,0,37579,297,466
563,0,0,37851,265,460
423,0,0,38103,234,452
281,0,0,38401,203,450
204,0,0,38661,194,445
310,0,0,38703,179,437
436,0,0,38722,176,436
564,0,0,38756,176,451
699,0,0,38792,170,466
832,0,0,38811,165,467
953,0,0,38837,167,476
1078,0,0,38847,173,487
1217,0,0,38896,172,504
1331,0,0,38897,169,521
1304,0,0,38642,154,516
1290,0,0,38392,146,508
1276,0,0,38138,135,500
1263,0,0,37896,128,499
1245,0,0,37623,121,495
1238,0,0,37371,108,497
1216,0,0,37117,106,491
1214,0,0,36878,101,493
1241,0,0,36619,106,488
1188,0,0,36609,271,510
1142,0,0,36565,459,517
1098,0,0,36537,642,528
1064,0,0,36510,830,544
1025,0,0,36468,1021,552
975,0,0,36430,1217,571
940,0,0,36406,1403,594
900,0,0,36376,1589,612
871,0,0,36356,1761,615
817,0,0,36506,1604,607
770,0,0,36623,1452,586
717,0,0,36751,1307,591
660,0,0,36885,1161,570
612,0,0,37024,1016,555
555,0,0,37173,863,540
507,0,0,37304,719,539
455,0,0,37438,572,533
416,0,0,37548,466,531
366,0,0,37337,416,521
314,0,0,37120,359,520
271,0,0,36910,311,512
217,0,0,36711,265,512
170,0,0,36493,218,509
118,0,0,36283,162,500
67,0,0,36071,121,500
23,0,0,35875,70,482
0,0,0,35696,35,476
8,0,0,35824,33,469
26,0,0,35947,39,480
48,0,0,36065,44,475
64,0,0,36206,50,461
83,0,0,36329,60,450
103,0,0,36448,62,447
118,0,0,36582,68,440
139,0,0,36720,82,422
153,0,0,36845,91,421
165,0,0,36920,80,418
182,0,0,37003,64,420
200,0,0,37090,57,410
223,0,0,37173,48,423
244,0,0,37246,34,418
257,0,0,37331,25,427
282,0,0,37399,12,435
303,0,0,37480,0,446
330,0,0,37573,0,451
291,0,0,37633,25,467
252,0,0,37699,62,458
214,0,0,37766,108,483
181,0,0,37828,149,506
138,0,0,37894,197,514
101,0,0,37936,234,528
63,0,0,38004,275,541
21,0,0,38067,323,557
0,0,0,38127,360,577
37,0,0,38086,322,562
86,0,0,38046,300,557
136,0,0,38000,283,521
183,0,0,37964,265,510
230,0,0,37916,253,499
281,0,0,37881,234,485
326,0,0,37844,227,487
374,0,0,37807,214,473
415,0,0,37761,217,471
371,0,223,37680,262,467
321,0,445,37613,305,473
279,0,665,37560,343,499
225,0,905,37483,395,504
181,0,1127,37424,439,516
128,0,1349,37360,482,543
82,0,1573,37289,524,546
34,0,1795,37225,576,558
0,0,2001,37169,637,556
49,0,1781,37198,563,573
116,0,1558,37241,492,550
182,0,1333,37272,422,536
261,0,1096,37319,346,538
325,0,874,37354,276,511
391,0,647,37398,203,515
463,0,429,37443,130,505
538,0,205,37479,59,505
591,0,0,37505,0,508
586,0,0,37547,0,486
596,0,0,37575,0,468
603,0,0,37597,0,443
614,0,0,37633,0,439
628,0,0,37662,0,435
637,0,0,37685,0,439
649,0,0,37718,0,436
664,0,0,37746,0,441
697,0,0,37786,0,426
611,0,0,37940,69,424
532,0,0,38103,159,392
455,0,0,38275,249,403
377,0,0,38429,345,405
291,0,0,38612,440,392
212,0,0,38772,537,372
136,0,0,38952,630,384
57,0,0,39119,725,400
0,0,0,39283,816,405
1,0,0,38950,772,414
14,0,0,38622,767,436
26,0,0,38309,755,477
38,0,0,37997,756,501
58,0,0,37688,744,544
72,0,0,37352,743,576
93,0,0,37042,730,605
106,0,0,36726,727,648
124,0,0,36438,752,684
148,0,0,36548,661,645
181,0,0,36700,571,618
218,0,0,36839,487,589
253,0,0,36964,396,558
289,0,0,37101,314,520
326,0,0,37251,219,509
361,0,0,37391,139,489
397,0,0,37517,52,476
447,0,0,37666,0,460
499,0,0,37709,0,435
600,0,0,37763,0,412
703,0,0,37815,0,409
795,0,0,37860,0,414
891,0,0,37914,0,400
988,0,0,37974,0,386
1090,0,0,38014,0,386
1190,0,0,38070,0,399
1305,0,0,38146,0,398
1236,0,0,38099,39,388
1198,0,0,38077,109,374
1160,0,0,38033,185,393
1129,0,0,38006,257,410
1083,0,0,37984,321,438
1061,0,0,37950,399,449
1016,0,0,37932,471,476
977,0,0,37907,544,488
988,0,0,37887,615,503
909,0,0,37749,575,499
865,0,0,37595,550,492
817,0,0,37452,530,491
757,0,0,37317,508,500
721,0,0,37179,497,521
670,0,0,37046,474,528
622,0,0,36897,460,537
569,0,0,36744,437,547
565,0,0,36619,450,560
496,0,0,36610,501,538
435,0,0,36617,594,519
366,0,0,36628,680,506
301,0,0,36623,783,502
233,0,0,36620,874,491
170,0,0,36628,960,474
107,0,0,36627,1058,468
38,0,0,36607,1163,446
0,0,0,36638,1279,442
82,0,0,36575,1144,424
205,0,0,36545,1016,432
335,0,0,36510,899,428
462,0,0,36465,773,428
584,0,0,36430,651,449
708,0,0,36400,530,453
832,0,0,36348,410,452
953,0,0,36319,298,461
1087,0,0,36297,204,472
1180,0,0,36416,251,444
1302,0,0,36536,318,422
1420,0,0,36677,384,403
1551,0,0,36821,457,391
1674,0,0,36958,527,380
1798,0,0,37075,593,362
1919,0,0,37218,662,345
2039,0,0,37355,728,326
2211,0,0,37499,812,319
2055,0,0,37253,778,323
1927,0,0,37011,770,342
1800,0,0,36770,773,350
1664,0,0,36523,771,356
1524,0,0,36270,764,370
1399,0,0,36029,767,400
1262,0,0,35794,761,421
1139,0,0,35547,758,442
1018,0,0,35289,765,466
921,0,0,35505,725,463
835,0,0,35724,687,445
759,0,0,35944,655,434
685,0,0,36170,616,438
585,0,0,36399,579,410
506,0,0,36606,542,407
427,0,0,36838,503,423
342,0,0,37058,467,402
286,0,0,37271,453,399
307,0,0,37283,408,400
353,0,0,37278,368,399
399,0,0,37267,331,397
447,0,0,37256,300,383
498,0,0,37257,257,387
560,0,0,37242,227,399
607,0,0,37226,184,393
660,0,0,37212,149,393
724,0,0,37200,131,392
650,0,0,37437,136,399
572,0,0,37700,168,420
498,0,0,37952,196,436
422,0,0,38201,218,469
341,0,0,38441,253,483
274,0,0,38710,282,505
199,0,0,38958,311,537
135,0,0,39207,342,563
89,0,0,39465,376,590
134,0,0,39462,344,584
203,0,0,39447,325,567
265,0,0,39416,301,562
330,0,0,39406,277,568
395,0,0,39388,251,555
457,0,0,39376,232,540
528,0,0,39353,211,547
589,0,0,39337,192,547
661,0,0,39310,190,547
625,0,0,39129,212,517
614,0,0,38923,257,492
606,0,0,38710,311,467
604,0,0,38505,369,459
600,0,0,38287,412,429
587,0,0,38096,464,417
586,0,0,37898,522,378
591,0,0,37684,575,358
583,0,0,37470,632,362
623,0,0,37512,606,359
657,0,0,37571,590,395
708,0,0,37637,561,402
764,0,0,37708,533,431
810,0,0,37755,516,449
856,0,0,37824,495,472
907,0,0,37883,475,496
970,0,0,37942,450,514
1037,0,0,38005,456,530
942,0,0,37866,425,512
824,0,0,37725,413,502
701,0,0,37572,395,509
580,0,0,37397,377,514
460,0,0,37253,371,484
344,0,0,37101,357,515
227,0,0,36950,346,485
106,0,0,36788,334,474
0,0,0,36636,333,486
22,0,0,36854,303,486
70,0,0,37095,287,483
130,0,0,37347,270,489
196,0,0,37603,250,502
256,0,0,37848,237,499
325,0,0,38086,227,489
385,0,0,38335,213,490
446,0,0,38573,200,501
517,0,0,38825,203,498
508,0,0,38830,191,496
495,0,0,38804,187,490
481,0,0,38786,176,493
464,0,0,38761,174,478
463,0,0,38730,170,487
442,0,0,38704,166,481
436,0,0,38671,168,478
424,0,0,38664,161,454
437,0,0,38630,178,465
402,0,0,38557,233,475
381,0,0,38463,339,489
360,0,0,38369,438,520
337,0,0,38267,539,533
320,0,0,38204,657,546
300,0,0,38102,751,554
278,0,0,38008,861,537
256,0,0,37922,964,580
238,0,0,37837,1079,612
216,0,0,37796,995,591
204,0,0,37752,918,579
193,0,0,37721,837,583
186,0,0,37686,749,564
172,0,0,37658,680,565
159,0,0,37614,595,563
155,0,0,37574,509,557
150,0,0,37541,434,543
158,0,0,37521,386,528
316,0,0,37737,440,503
507,0,0,37986,528,480
706,0,0,38247,602,463
908,0,0,38494,686,446
1102,0,0,38728,768,417
1311,0,0,39007,851,384
1505,0,0,39256,930,378
1714,0,0,39505,1015,370
1922,0,0,39749,1101,355
1885,0,0,39647,1031,356
1837,0,0,39494,934,356
1799,0,0,39328,851,356
1763,0,0,39162,761,348
1721,0,0,39021,672,347
1675,0,0,38835,575,342
1641,0,0,38672,489,369
1601,0,0,38516,399,375
1564,0,0,38353,331,378
1472,0,0,38260,320,388
1348,0,0,38173,339,393
1236,0,0,38107,349,384
1124,0,0,38031,365,392
1010,0,0,37936,385,401
902,0,0,37862,402,404
782,0,0,37787,413,404
669,0,0,37716,438,416
565,0,0,37626,459,425
650,0,0,37671,494,435
845,0,0,37742,547,440
1062,0,0,37818,612,459
1258,0,0,37887,671,482
1463,0,0,37954,726,504
1665,0,0,38023,792,514
1890,0,0,38076,850,541
2095,0,0,38159,919,560
2305,0,0,38219,988,579
2129,0,0,38017,919,574
1870,0,0,37789,821,554
1602,0,0,37515,717,544
1347,0,0,37279,618,533
1091,0,0,37035,532,525
839,0,0,36783,435,504
589,0,0,36544,342,502
317,0,0,36291,243,507
98,0,0,36038,176,496
89,0,0,36053,162,476
76,0,0,36127,142,448
64,0,0,36207,129,426
52,0,0,36282,113,404
37,0,0,36358,102,384
26,0,0,36429,86,356
14,0,0,36492,72,334
2,0,0,36581,60,317
0,0,0,36632,53,307
57,0,0,36787,84,309
130,0,0,36939,151,334
209,0,0,37093,219,354
290,0,0,37263,302,360
373,0,0,37400,368,383
444,0,0,37556,437,403
520,0,0,37705,508,426
598,0,0,37855,582,440
686,0,0,38007,659,472
664,0,0,37973,603,462
659,0,0,37915,527,461
652,0,0,37864,454,462
647,0,0,37795,371,463
650,0,0,37724,285,453
638,0,0,37662,211,453
634,0,0,37612,135,470
633,0,0,37542,64,455
629,0,0,37488,0,470
617,0,0,37335,36,437
597,0,0,37162,105,416
583,0,0,36996,171,405
571,0,0,36831,243,392
560,0,0,36658,316,379
541,0,0,36497,385,356
523,0,0,36322,453,339
512,0,0,36155,524,326
510,0,0,35986,592,316
490,0,0,36147,573,316
462,0,0,36391,543,314
455,0,0,36620,513,311
441,0,0,36861,487,304
427,0,0,37100,457,335
420,0,0,37371,429,356
407,0,0,37578,404,387
389,0,0,37825,374,408
379,0,0,38060,355,433
367,0,0,38278,355,428
340,0,0,38427,353,419
318,0,0,38604,357,402
292,0,0,38776,357,375
267,0,0,38946,358,359
237,0,0,39122,359,352
213,0,0,39300,363,343
195,0,0,39470,365,334
183,0,0,39640,372,344
218,0,0,39457,352,344
283,0,0,39156,333,357
350,0,0,38851,313,386
412,0,0,38570,296,415
475,0,0,38289,278,436
540,0,0,37991,257,466
606,0,0,37701,241,507
674,0,0,37408,222,537
740,0,0,37118,205,569
878,0,0,37201,248,555
1082,0,0,37374,317,534
1260,0,0,37540,378,519
1450,0,0,37717,447,506
1634,0,0,37880,513,485
1825,0,0,38051,575,477
2023,0,0,38227,646,465
2210,0,0,38397,711,448
2413,0,0,38568,780,445
2257,0,0,38378,728,439
1995,0,0,38119,639,432
1716,0,0,37829,539,439
1463,0,0,37552,452,435
1213,0,0,37268,360,435
961,0,0,36991,275,430
700,0,0,36726,183,432
436,0,0,36423,92,443
185,0,0,36157,5,459
156,0,0,36167,0,453
190,0,0,36245,1,446
233,0,0,36345,8,448
274,0,0,36412,16,452
309,0,0,36519,23,463
350,0,0,36597,28,471
387,0,0,36687,34,463
441,0,0,36779,43,467
491,0,0,36856,48,479
461,0,0,37002,58,458
403,0,0,37153,88,429
347,0,0,37301,124,419
282,0,0,37472,153,386
220,0,0,37633,192,381
166,0,0,37772,225,352
106,0,0,37933,255,322
42,0,0,38099,291,298
0,0,0,38250,339,292
65,0,0,38290,327,301
187,0,0,38310,322,320
313,0,0,38322,308,345
451,0,0,38340,301,383
582,0,0,38357,299,417
715,0,0,38371,292,440
844,0,0,38389,285,473
977,0,0,38394,285,513
1116,0,0,38435,288,549
1038,0,0,38469,269,540
909,0,0,38523,250,514
779,0,0,38574,226,505
649,0,0,38618,210,492
508,0,0,38670,184,471
374,0,0,38726,168,458
247,0,0,38776,150,436
124,0,0,38802,136,432
3,0,0,38872,118,426
0,0,0,38782,118,421
0,0,0,38683,129,414
0,0,0,38563,138,391
0,0,0,38453,150,399
0,0,0,38328,161,406
0,0,0,38213,174,407
0,0,0,38116,184,412
0,0,0,38004,193,418
0,0,0,37887,209,420
3,0,53,37697,197,416
21,0,145,37519,175,389
37,0,236,37346,151,397
60,0,327,37146,135,400
78,0,418,36964,112,408
97,0,515,36770,89,395
118,0,612,36580,76,383
138,0,697,36377,52,379
158,0,784,36190,38,387
171,0,741,36297,48,385
202,0,647,36492,93,374
232,0,561,36690,138,380
269,0,469,36904,184,383
293,0,378,37069,233,397
330,0,284,37291,276,393
358,0,193,37492,320,379
388,0,99,37685,373,393
426,0,8,37871,422,408
403,0,0,37830,433,400
351,0,0,37684,453,378
302,0,0,37543,473,369
251,0,0,37390,496,369
204,0,0,37250,524,372
151,0,0,37115,547,362
100,0,0,36963,570,371
50,0,0,36824,598,360
2,0,0,36682,631,366
36,0,0,36708,592,372
111,0,0,36794,532,380
183,0,0,36888,472,402
250,0,0,36958,416,416
324,0,0,37044,354,446
395,0,0,37128,296,458
476,0,0,37228,233,472
545,0,0,37311,175,488
620,0,0,37389,123,507
593,0,0,37502,133,507
517,0,0,37609,159,487
438,0,0,37726,192,472
366,0,0,37842,209,455
292,0,0,37950,240,441
220,0,0,38059,264,415
150,0,0,38178,300,397
75,0,0,38309,326,395
8,0,0,38392,359,381
0,0,0,38325,342,370
0,0,0,38178,316,357
0,0,0,38036,288,362
0,0,0,37894,258,360
0,0,0,37760,236,371
0,0,0,37622,210,364
0,0,0,37462,183,358
0,0,0,37331,157,354
0,0,0,37185,133,354
14,0,0,37265,146,364
54,0,7,37442,163,372
103,0,21,37623,182,382
149,0,35,37812,195,398
195,0,49,37996,210,412
243,0,64,38172,226,436
288,0,75,38355,244,440
337,0,91,38530,260,452
388,0,106,38717,279,480
476,0,100,38804,284,471
621,0,87,38829,324,462
777,0,73,38853,365,456
944,0,63,38867,415,449
1088,0,44,38895,448,455
1245,0,28,38922,497,449
1398,0,15,38946,542,445
1546,0,3,38970,582,449
1726,0,0,39002,634,470
1641,0,0,39087,599,468
1437,0,0,39199,527,449
1239,0,0,39308,456,462
1037,0,0,39428,389,499
822,0,0,39542,319,512
630,0,0,39673,253,520
429,0,0,39775,183,530
237,0,0,39898,120,550
41,0,0,40002,61,562
53,0,0,39781,81,551
144,0,0,39425,154,516
234,0,0,39054,222,504
326,0,0,38708,290,491
426,0,0,38313,367,481
515,0,0,37959,440,444
608,0,0,37597,513,441
701,0,0,37228,583,396
787,0,0,36872,664,388
820,0,0,36768,640,376
867,0,0,36804,580,373
918,0,0,36850,524,372
